agency,gross,site_number,datetime,cfs
USGS,3068690,3068690,6/28/1975,3.5
USGS,3068690,3068690,6/29/1975,3.4
USGS,3068690,3068690,6/30/1975,3.3
USGS,3068690,3068690,7/1/1975,3.3
USGS,3068690,3068690,7/2/1975,3.2
USGS,3068690,3068690,7/3/1975,3.1
USGS,3068690,3068690,7/4/1975,3.3
USGS,3068690,3068690,7/5/1975,3.3
USGS,3068690,3068690,7/6/1975,3.2
USGS,3068690,3068690,7/7/1975,3.3
USGS,3068690,3068690,7/8/1975,3.3
USGS,3068690,3068690,7/9/1975,3.4
USGS,3068690,3068690,7/10/1975,3.4
USGS,3068690,3068690,7/11/1975,3.3
USGS,3068690,3068690,7/12/1975,3.2
USGS,3068690,3068690,7/13/1975,3.8
USGS,3068690,3068690,7/14/1975,3.6
USGS,3068690,3068690,7/15/1975,3.5
USGS,3068690,3068690,7/16/1975,3.4
USGS,3068690,3068690,7/17/1975,3.3
USGS,3068690,3068690,7/18/1975,3.2
USGS,3068690,3068690,7/19/1975,3.3
USGS,3068690,3068690,7/20/1975,3.4
USGS,3068690,3068690,7/21/1975,3.3
USGS,3068690,3068690,7/22/1975,3.2
USGS,3068690,3068690,7/23/1975,3.2
USGS,3068690,3068690,7/24/1975,3.3
USGS,3068690,3068690,7/25/1975,3.2
USGS,3068690,3068690,7/26/1975,2.9
USGS,3068690,3068690,7/27/1975,2.8
USGS,3068690,3068690,7/28/1975,2.8
USGS,3068690,3068690,7/29/1975,2.7
USGS,3068690,3068690,7/30/1975,2.6
USGS,3068690,3068690,7/31/1975,2.6
USGS,3068690,3068690,8/1/1975,2.6
USGS,3068690,3068690,8/2/1975,2.6
USGS,3068690,3068690,8/3/1975,2.6
USGS,3068690,3068690,8/4/1975,2.8
USGS,3068690,3068690,8/5/1975,2.7
USGS,3068690,3068690,8/6/1975,3.2
USGS,3068690,3068690,8/7/1975,3.1
USGS,3068690,3068690,8/8/1975,3
USGS,3068690,3068690,8/9/1975,2.9
USGS,3068690,3068690,8/10/1975,2.8
USGS,3068690,3068690,8/11/1975,2.7
USGS,3068690,3068690,8/12/1975,2.7
USGS,3068690,3068690,8/13/1975,2.7
USGS,3068690,3068690,8/14/1975,3.2
USGS,3068690,3068690,8/15/1975,3.3
USGS,3068690,3068690,8/16/1975,3.6
USGS,3068690,3068690,8/17/1975,3.5
USGS,3068690,3068690,8/18/1975,3.5
USGS,3068690,3068690,8/19/1975,3.4
USGS,3068690,3068690,8/20/1975,3.3
USGS,3068690,3068690,8/21/1975,3.2
USGS,3068690,3068690,8/22/1975,3.2
USGS,3068690,3068690,8/23/1975,3.1
USGS,3068690,3068690,8/24/1975,3
USGS,3068690,3068690,8/25/1975,2.9
USGS,3068690,3068690,8/26/1975,2.9
USGS,3068690,3068690,8/27/1975,2.8
USGS,3068690,3068690,8/28/1975,2.8
USGS,3068690,3068690,8/29/1975,2.7
USGS,3068690,3068690,8/30/1975,2.6
USGS,3068690,3068690,8/31/1975,2.6
USGS,3068690,3068690,9/1/1975,3
USGS,3068690,3068690,9/2/1975,3.1
USGS,3068690,3068690,9/3/1975,3.1
USGS,3068690,3068690,9/4/1975,3.1
USGS,3068690,3068690,9/5/1975,3
USGS,3068690,3068690,9/6/1975,3
USGS,3068690,3068690,9/7/1975,3
USGS,3068690,3068690,9/8/1975,3
USGS,3068690,3068690,9/9/1975,2.9
USGS,3068690,3068690,9/10/1975,2.9
USGS,3068690,3068690,9/11/1975,2.8
USGS,3068690,3068690,9/12/1975,2.8
USGS,3068690,3068690,9/13/1975,3
USGS,3068690,3068690,9/14/1975,3
USGS,3068690,3068690,9/15/1975,2.9
USGS,3068690,3068690,9/16/1975,2.9
USGS,3068690,3068690,9/17/1975,2.8
USGS,3068690,3068690,9/18/1975,2.8
USGS,3068690,3068690,9/19/1975,3
USGS,3068690,3068690,9/20/1975,3.2
USGS,3068690,3068690,9/21/1975,3.2
USGS,3068690,3068690,9/22/1975,3.2
USGS,3068690,3068690,9/23/1975,4.3
USGS,3068690,3068690,9/24/1975,4.5
USGS,3068690,3068690,9/25/1975,4
USGS,3068690,3068690,9/26/1975,3.9
USGS,3068690,3068690,9/27/1975,3.8
USGS,3068690,3068690,9/28/1975,3.7
USGS,3068690,3068690,9/29/1975,3.6
USGS,3068690,3068690,9/30/1975,3.5
USGS,3068690,3068690,10/1/1975,3.5
USGS,3068690,3068690,10/2/1975,3.4
USGS,3068690,3068690,10/3/1975,3.3
USGS,3068690,3068690,10/4/1975,3.3
USGS,3068690,3068690,10/5/1975,3.2
USGS,3068690,3068690,10/6/1975,3.1
USGS,3068690,3068690,10/7/1975,3.1
USGS,3068690,3068690,10/8/1975,3.1
USGS,3068690,3068690,10/9/1975,3.1
USGS,3068690,3068690,10/10/1975,3.1
USGS,3068690,3068690,10/11/1975,3.4
USGS,3068690,3068690,10/12/1975,3.5
USGS,3068690,3068690,10/13/1975,3.4
USGS,3068690,3068690,10/14/1975,3.3
USGS,3068690,3068690,10/15/1975,3.3
USGS,3068690,3068690,10/16/1975,3.3
USGS,3068690,3068690,10/17/1975,3.4
USGS,3068690,3068690,10/18/1975,4.5
USGS,3068690,3068690,10/19/1975,4.2
USGS,3068690,3068690,10/20/1975,4.1
USGS,3068690,3068690,10/21/1975,4
USGS,3068690,3068690,10/22/1975,3.9
USGS,3068690,3068690,10/23/1975,3.7
USGS,3068690,3068690,10/24/1975,3.7
USGS,3068690,3068690,10/25/1975,3.7
USGS,3068690,3068690,10/26/1975,3.6
USGS,3068690,3068690,10/27/1975,3.5
USGS,3068690,3068690,10/28/1975,3.5
USGS,3068690,3068690,10/29/1975,3.4
USGS,3068690,3068690,10/30/1975,3.5
USGS,3068690,3068690,10/31/1975,3.3
USGS,3068690,3068690,11/1/1975,3.3
USGS,3068690,3068690,11/2/1975,3.2
USGS,3068690,3068690,11/3/1975,3.2
USGS,3068690,3068690,11/4/1975,3.5
USGS,3068690,3068690,11/5/1975,3.5
USGS,3068690,3068690,11/6/1975,3.5
USGS,3068690,3068690,11/7/1975,3.5
USGS,3068690,3068690,11/8/1975,3.6
USGS,3068690,3068690,11/9/1975,3.6
USGS,3068690,3068690,11/10/1975,3.5
USGS,3068690,3068690,11/11/1975,3.4
USGS,3068690,3068690,11/12/1975,3.8
USGS,3068690,3068690,11/13/1975,4.4
USGS,3068690,3068690,11/14/1975,4.4
USGS,3068690,3068690,11/15/1975,4.3
USGS,3068690,3068690,11/16/1975,4.3
USGS,3068690,3068690,11/17/1975,4.1
USGS,3068690,3068690,11/18/1975,4.1
USGS,3068690,3068690,11/19/1975,4.1
USGS,3068690,3068690,11/20/1975,4.1
USGS,3068690,3068690,11/21/1975,4
USGS,3068690,3068690,11/22/1975,3.9
USGS,3068690,3068690,11/23/1975,3.9
USGS,3068690,3068690,11/24/1975,3.9
USGS,3068690,3068690,11/25/1975,3.6
USGS,3068690,3068690,11/26/1975,3.5
USGS,3068690,3068690,11/27/1975,3.6
USGS,3068690,3068690,11/28/1975,3.6
USGS,3068690,3068690,11/29/1975,3.5
USGS,3068690,3068690,11/30/1975,3.5
USGS,3068690,3068690,12/1/1975,3.4
USGS,3068690,3068690,12/2/1975,3.4
USGS,3068690,3068690,12/3/1975,3.4
USGS,3068690,3068690,12/4/1975,3.3
USGS,3068690,3068690,12/5/1975,3.3
USGS,3068690,3068690,12/6/1975,3.3
USGS,3068690,3068690,12/7/1975,3.3
USGS,3068690,3068690,12/8/1975,3.5
USGS,3068690,3068690,12/9/1975,3.6
USGS,3068690,3068690,12/10/1975,3.5
USGS,3068690,3068690,12/11/1975,3.4
USGS,3068690,3068690,12/12/1975,3.6
USGS,3068690,3068690,12/13/1975,3.7
USGS,3068690,3068690,12/14/1975,3.9
USGS,3068690,3068690,12/15/1975,4.1
USGS,3068690,3068690,12/16/1975,4.1
USGS,3068690,3068690,12/17/1975,4.2
USGS,3068690,3068690,12/18/1975,4
USGS,3068690,3068690,12/19/1975,3.9
USGS,3068690,3068690,12/20/1975,3.7
USGS,3068690,3068690,12/21/1975,3.7
USGS,3068690,3068690,12/22/1975,3.5
USGS,3068690,3068690,12/23/1975,3.3
USGS,3068690,3068690,12/24/1975,3.2
USGS,3068690,3068690,12/25/1975,3.2
USGS,3068690,3068690,12/26/1975,3.2
USGS,3068690,3068690,12/27/1975,3.6
USGS,3068690,3068690,12/28/1975,3.6
USGS,3068690,3068690,12/29/1975,3.6
USGS,3068690,3068690,12/30/1975,3.5
USGS,3068690,3068690,12/31/1975,3.9
USGS,3068690,3068690,1/1/1976,5.4
USGS,3068690,3068690,1/2/1976,4.3
USGS,3068690,3068690,1/3/1976,4.1
USGS,3068690,3068690,1/4/1976,4.1
USGS,3068690,3068690,1/5/1976,3.9
USGS,3068690,3068690,1/6/1976,3.7
USGS,3068690,3068690,1/7/1976,3.6
USGS,3068690,3068690,1/8/1976,3.5
USGS,3068690,3068690,1/9/1976,3.4
USGS,3068690,3068690,1/10/1976,3.3
USGS,3068690,3068690,1/11/1976,3.2
USGS,3068690,3068690,1/12/1976,3.3
USGS,3068690,3068690,1/13/1976,3.2
USGS,3068690,3068690,1/14/1976,3.8
USGS,3068690,3068690,1/15/1976,3.6
USGS,3068690,3068690,1/16/1976,3.5
USGS,3068690,3068690,1/17/1976,3.3
USGS,3068690,3068690,1/18/1976,3.2
USGS,3068690,3068690,1/19/1976,3.1
USGS,3068690,3068690,1/20/1976,3
USGS,3068690,3068690,1/21/1976,2.9
USGS,3068690,3068690,1/22/1976,2.9
USGS,3068690,3068690,1/23/1976,2.9
USGS,3068690,3068690,1/24/1976,2.9
USGS,3068690,3068690,1/25/1976,3
USGS,3068690,3068690,1/26/1976,3.2
USGS,3068690,3068690,1/27/1976,3.6
USGS,3068690,3068690,1/28/1976,3.8
USGS,3068690,3068690,1/29/1976,3.7
USGS,3068690,3068690,1/30/1976,3.5
USGS,3068690,3068690,1/31/1976,3.5
USGS,3068690,3068690,2/1/1976,3.4
USGS,3068690,3068690,2/2/1976,3.3
USGS,3068690,3068690,2/3/1976,3.1
USGS,3068690,3068690,2/4/1976,3.1
USGS,3068690,3068690,2/5/1976,3.2
USGS,3068690,3068690,2/6/1976,4.3
USGS,3068690,3068690,2/7/1976,3.9
USGS,3068690,3068690,2/8/1976,3.7
USGS,3068690,3068690,2/9/1976,3.4
USGS,3068690,3068690,2/10/1976,3.4
USGS,3068690,3068690,2/11/1976,3.7
USGS,3068690,3068690,2/12/1976,3.8
USGS,3068690,3068690,2/13/1976,3.7
USGS,3068690,3068690,2/14/1976,4.3
USGS,3068690,3068690,2/15/1976,3.9
USGS,3068690,3068690,2/16/1976,3.7
USGS,3068690,3068690,2/17/1976,3.7
USGS,3068690,3068690,2/18/1976,3.7
USGS,3068690,3068690,2/19/1976,3.7
USGS,3068690,3068690,2/20/1976,3.6
USGS,3068690,3068690,2/21/1976,3.6
USGS,3068690,3068690,2/22/1976,3.7
USGS,3068690,3068690,2/23/1976,3.7
USGS,3068690,3068690,2/24/1976,3.6
USGS,3068690,3068690,2/25/1976,3.6
USGS,3068690,3068690,2/26/1976,3.5
USGS,3068690,3068690,2/27/1976,3.5
USGS,3068690,3068690,2/28/1976,3.4
USGS,3068690,3068690,2/29/1976,3.4
USGS,3068690,3068690,3/1/1976,3.2
USGS,3068690,3068690,3/2/1976,3.1
USGS,3068690,3068690,3/3/1976,3.1
USGS,3068690,3068690,3/4/1976,3
USGS,3068690,3068690,3/5/1976,3
USGS,3068690,3068690,3/6/1976,3
USGS,3068690,3068690,3/7/1976,2.9
USGS,3068690,3068690,3/8/1976,2.9
USGS,3068690,3068690,3/9/1976,2.8
USGS,3068690,3068690,3/10/1976,2.8
USGS,3068690,3068690,3/11/1976,2.9
USGS,3068690,3068690,3/12/1976,3.1
USGS,3068690,3068690,3/13/1976,3.2
USGS,3068690,3068690,3/14/1976,3.4
USGS,3068690,3068690,3/15/1976,3.5
USGS,3068690,3068690,3/16/1976,3.5
USGS,3068690,3068690,3/17/1976,3.7
USGS,3068690,3068690,3/18/1976,3.6
USGS,3068690,3068690,3/19/1976,3.7
USGS,3068690,3068690,3/20/1976,3.7
USGS,3068690,3068690,3/21/1976,4.4
USGS,3068690,3068690,3/22/1976,4.3
USGS,3068690,3068690,3/23/1976,4
USGS,3068690,3068690,3/24/1976,3.8
USGS,3068690,3068690,3/25/1976,3.7
USGS,3068690,3068690,3/26/1976,3.6
USGS,3068690,3068690,3/27/1976,3.5
USGS,3068690,3068690,3/28/1976,3.4
USGS,3068690,3068690,3/29/1976,3.3
USGS,3068690,3068690,3/30/1976,3.3
USGS,3068690,3068690,3/31/1976,3.3
USGS,3068690,3068690,4/1/1976,3.4
USGS,3068690,3068690,4/2/1976,3.5
USGS,3068690,3068690,4/3/1976,3.8
USGS,3068690,3068690,4/4/1976,4.2
USGS,3068690,3068690,4/5/1976,3.9
USGS,3068690,3068690,4/6/1976,3.8
USGS,3068690,3068690,4/7/1976,3.7
USGS,3068690,3068690,4/8/1976,3.6
USGS,3068690,3068690,4/9/1976,3.5
USGS,3068690,3068690,4/10/1976,3.4
USGS,3068690,3068690,4/11/1976,3.3
USGS,3068690,3068690,4/12/1976,3.2
USGS,3068690,3068690,4/13/1976,3.1
USGS,3068690,3068690,4/14/1976,2.9
USGS,3068690,3068690,4/15/1976,3
USGS,3068690,3068690,4/16/1976,3.3
USGS,3068690,3068690,4/17/1976,3.3
USGS,3068690,3068690,4/18/1976,3.3
USGS,3068690,3068690,4/19/1976,3.3
USGS,3068690,3068690,4/20/1976,3.4
USGS,3068690,3068690,4/21/1976,3.5
USGS,3068690,3068690,4/22/1976,3.3
USGS,3068690,3068690,4/23/1976,3.3
USGS,3068690,3068690,4/24/1976,3.2
USGS,3068690,3068690,4/25/1976,3.2
USGS,3068690,3068690,4/26/1976,3.4
USGS,3068690,3068690,4/27/1976,3.6
USGS,3068690,3068690,4/28/1976,3.5
USGS,3068690,3068690,4/29/1976,3.4
USGS,3068690,3068690,4/30/1976,3.3
USGS,3068690,3068690,5/1/1976,3.3
USGS,3068690,3068690,5/2/1976,3.5
USGS,3068690,3068690,5/3/1976,3.6
USGS,3068690,3068690,5/4/1976,3.5
USGS,3068690,3068690,5/5/1976,3.5
USGS,3068690,3068690,5/6/1976,3.4
USGS,3068690,3068690,5/7/1976,3.4
USGS,3068690,3068690,5/8/1976,3.3
USGS,3068690,3068690,5/9/1976,3.3
USGS,3068690,3068690,5/10/1976,3.2
USGS,3068690,3068690,5/11/1976,3.2
USGS,3068690,3068690,5/12/1976,3.2
USGS,3068690,3068690,5/13/1976,3.1
USGS,3068690,3068690,5/14/1976,3
USGS,3068690,3068690,5/15/1976,3.1
USGS,3068690,3068690,5/16/1976,3.1
USGS,3068690,3068690,5/17/1976,3.3
USGS,3068690,3068690,5/18/1976,3.4
USGS,3068690,3068690,5/19/1976,3.6
USGS,3068690,3068690,5/20/1976,3.5
USGS,3068690,3068690,5/21/1976,3.6
USGS,3068690,3068690,5/22/1976,3.6
USGS,3068690,3068690,5/23/1976,3.5
USGS,3068690,3068690,5/24/1976,3.7
USGS,3068690,3068690,5/25/1976,3.7
USGS,3068690,3068690,5/26/1976,3.6
USGS,3068690,3068690,5/27/1976,3.4
USGS,3068690,3068690,5/28/1976,3.4
USGS,3068690,3068690,5/29/1976,3.4
USGS,3068690,3068690,5/30/1976,3.4
USGS,3068690,3068690,5/31/1976,3.4
USGS,3068690,3068690,6/1/1976,3.5
USGS,3068690,3068690,6/2/1976,3.4
USGS,3068690,3068690,6/3/1976,3.5
USGS,3068690,3068690,6/4/1976,3.5
USGS,3068690,3068690,6/5/1976,3.5
USGS,3068690,3068690,6/6/1976,3.5
USGS,3068690,3068690,6/7/1976,3.5
USGS,3068690,3068690,6/8/1976,3.5
USGS,3068690,3068690,6/9/1976,3.5
USGS,3068690,3068690,6/10/1976,3.4
USGS,3068690,3068690,6/11/1976,3.4
USGS,3068690,3068690,6/12/1976,3.3
USGS,3068690,3068690,6/13/1976,3.3
USGS,3068690,3068690,6/14/1976,3.3
USGS,3068690,3068690,6/15/1976,3.3
USGS,3068690,3068690,6/16/1976,3.3
USGS,3068690,3068690,6/17/1976,3
USGS,3068690,3068690,6/18/1976,2.7
USGS,3068690,3068690,6/19/1976,2.7
USGS,3068690,3068690,6/20/1976,2.7
USGS,3068690,3068690,6/21/1976,2.8
USGS,3068690,3068690,6/22/1976,2.9
USGS,3068690,3068690,6/23/1976,2.9
USGS,3068690,3068690,6/24/1976,2.9
USGS,3068690,3068690,6/25/1976,2.8
USGS,3068690,3068690,6/26/1976,2.9
USGS,3068690,3068690,6/27/1976,2.9
USGS,3068690,3068690,6/28/1976,2.9
USGS,3068690,3068690,6/29/1976,2.9
USGS,3068690,3068690,6/30/1976,2.9
USGS,3068690,3068690,7/1/1976,2.9
USGS,3068690,3068690,7/2/1976,2.8
USGS,3068690,3068690,7/3/1976,2.8
USGS,3068690,3068690,7/4/1976,2.8
USGS,3068690,3068690,7/5/1976,2.7
USGS,3068690,3068690,7/6/1976,2.8
USGS,3068690,3068690,7/7/1976,2.7
USGS,3068690,3068690,7/8/1976,2.7
USGS,3068690,3068690,7/9/1976,2.7
USGS,3068690,3068690,7/10/1976,2.9
USGS,3068690,3068690,7/11/1976,2.9
USGS,3068690,3068690,7/12/1976,2.7
USGS,3068690,3068690,7/13/1976,2.8
USGS,3068690,3068690,7/14/1976,2.7
USGS,3068690,3068690,7/15/1976,2.7
USGS,3068690,3068690,7/16/1976,3
USGS,3068690,3068690,7/17/1976,3.3
USGS,3068690,3068690,7/18/1976,3.3
USGS,3068690,3068690,7/19/1976,3.6
USGS,3068690,3068690,7/20/1976,3.4
USGS,3068690,3068690,7/21/1976,3.1
USGS,3068690,3068690,7/22/1976,2.9
USGS,3068690,3068690,7/23/1976,3.1
USGS,3068690,3068690,7/24/1976,4.1
USGS,3068690,3068690,7/25/1976,3.9
USGS,3068690,3068690,7/26/1976,3.7
USGS,3068690,3068690,7/27/1976,3.6
USGS,3068690,3068690,7/28/1976,3.5
USGS,3068690,3068690,7/29/1976,3.6
USGS,3068690,3068690,7/30/1976,3.5
USGS,3068690,3068690,7/31/1976,3.4
USGS,3068690,3068690,8/1/1976,3.3
USGS,3068690,3068690,8/2/1976,3.2
USGS,3068690,3068690,8/3/1976,3.1
USGS,3068690,3068690,8/4/1976,3.1
USGS,3068690,3068690,8/5/1976,2.9
USGS,3068690,3068690,8/6/1976,2.9
USGS,3068690,3068690,8/7/1976,2.9
USGS,3068690,3068690,8/8/1976,2.9
USGS,3068690,3068690,8/9/1976,2.9
USGS,3068690,3068690,8/10/1976,2.8
USGS,3068690,3068690,8/11/1976,2.8
USGS,3068690,3068690,8/12/1976,2.8
USGS,3068690,3068690,8/13/1976,2.8
USGS,3068690,3068690,8/14/1976,2.7
USGS,3068690,3068690,8/15/1976,2.7
USGS,3068690,3068690,8/16/1976,2.7
USGS,3068690,3068690,8/17/1976,2.7
USGS,3068690,3068690,8/18/1976,2.7
USGS,3068690,3068690,8/19/1976,2.7
USGS,3068690,3068690,8/20/1976,2.7
USGS,3068690,3068690,8/21/1976,2.6
USGS,3068690,3068690,8/22/1976,2.6
USGS,3068690,3068690,8/23/1976,2.5
USGS,3068690,3068690,8/24/1976,2.5
USGS,3068690,3068690,8/25/1976,2.4
USGS,3068690,3068690,8/26/1976,2.5
USGS,3068690,3068690,8/27/1976,2.5
USGS,3068690,3068690,8/28/1976,2.5
USGS,3068690,3068690,8/29/1976,2.5
USGS,3068690,3068690,8/30/1976,2.5
USGS,3068690,3068690,8/31/1976,2.5
USGS,3068690,3068690,9/1/1976,2.5
USGS,3068690,3068690,9/2/1976,2.5
USGS,3068690,3068690,9/3/1976,2.5
USGS,3068690,3068690,9/4/1976,2.4
USGS,3068690,3068690,9/5/1976,2.4
USGS,3068690,3068690,9/6/1976,2.4
USGS,3068690,3068690,9/7/1976,2.4
USGS,3068690,3068690,9/8/1976,2.4
USGS,3068690,3068690,9/9/1976,2.4
USGS,3068690,3068690,9/10/1976,2.5
USGS,3068690,3068690,9/11/1976,2.6
USGS,3068690,3068690,9/12/1976,2.7
USGS,3068690,3068690,9/13/1976,2.7
USGS,3068690,3068690,9/14/1976,2.7
USGS,3068690,3068690,9/15/1976,2.7
USGS,3068690,3068690,9/16/1976,2.7
USGS,3068690,3068690,9/17/1976,2.8
USGS,3068690,3068690,9/18/1976,2.9
USGS,3068690,3068690,9/19/1976,2.9
USGS,3068690,3068690,9/20/1976,2.9
USGS,3068690,3068690,9/21/1976,2.9
USGS,3068690,3068690,9/22/1976,2.9
USGS,3068690,3068690,9/23/1976,2.9
USGS,3068690,3068690,9/24/1976,2.9
USGS,3068690,3068690,9/25/1976,2.8
USGS,3068690,3068690,9/26/1976,2.7
USGS,3068690,3068690,9/27/1976,2.7
USGS,3068690,3068690,9/28/1976,2.9
USGS,3068690,3068690,9/29/1976,2.9
USGS,3068690,3068690,9/30/1976,3
USGS,3068690,3068690,10/1/1976,3.2
USGS,3068690,3068690,10/2/1976,3.4
USGS,3068690,3068690,10/3/1976,3.6
USGS,3068690,3068690,10/4/1976,3.4
USGS,3068690,3068690,10/5/1976,3.2
USGS,3068690,3068690,10/6/1976,3.1
USGS,3068690,3068690,10/7/1976,3.1
USGS,3068690,3068690,10/8/1976,3.5
USGS,3068690,3068690,10/9/1976,6.7
USGS,3068690,3068690,10/10/1976,5.3
USGS,3068690,3068690,10/11/1976,4.1
USGS,3068690,3068690,10/12/1976,3.5
USGS,3068690,3068690,10/13/1976,3.4
USGS,3068690,3068690,10/14/1976,3.5
USGS,3068690,3068690,10/15/1976,3.4
USGS,3068690,3068690,10/16/1976,3.3
USGS,3068690,3068690,10/17/1976,3.2
USGS,3068690,3068690,10/18/1976,3.1
USGS,3068690,3068690,10/19/1976,3.1
USGS,3068690,3068690,10/20/1976,3
USGS,3068690,3068690,10/21/1976,3.5
USGS,3068690,3068690,10/22/1976,3.3
USGS,3068690,3068690,10/23/1976,3.3
USGS,3068690,3068690,10/24/1976,3.4
USGS,3068690,3068690,10/25/1976,3.6
USGS,3068690,3068690,10/26/1976,3.9
USGS,3068690,3068690,10/27/1976,3.6
USGS,3068690,3068690,10/28/1976,3.4
USGS,3068690,3068690,10/29/1976,3.2
USGS,3068690,3068690,10/30/1976,3.2
USGS,3068690,3068690,10/31/1976,3.3
USGS,3068690,3068690,11/1/1976,3.6
USGS,3068690,3068690,11/2/1976,3.5
USGS,3068690,3068690,11/3/1976,3.3
USGS,3068690,3068690,11/4/1976,3.2
USGS,3068690,3068690,11/5/1976,3.1
USGS,3068690,3068690,11/6/1976,3
USGS,3068690,3068690,11/7/1976,2.9
USGS,3068690,3068690,11/8/1976,2.9
USGS,3068690,3068690,11/9/1976,2.8
USGS,3068690,3068690,11/10/1976,2.7
USGS,3068690,3068690,11/11/1976,2.6
USGS,3068690,3068690,11/12/1976,2.6
USGS,3068690,3068690,11/13/1976,2.5
USGS,3068690,3068690,11/14/1976,2.4
USGS,3068690,3068690,11/15/1976,2.3
USGS,3068690,3068690,11/16/1976,2.2
USGS,3068690,3068690,11/17/1976,2.2
USGS,3068690,3068690,11/18/1976,2.1
USGS,3068690,3068690,11/19/1976,2.1
USGS,3068690,3068690,11/20/1976,2.1
USGS,3068690,3068690,11/21/1976,2.2
USGS,3068690,3068690,11/22/1976,2.2
USGS,3068690,3068690,11/23/1976,2.1
USGS,3068690,3068690,11/24/1976,2.1
USGS,3068690,3068690,11/25/1976,2
USGS,3068690,3068690,11/26/1976,2.1
USGS,3068690,3068690,11/27/1976,2.2
USGS,3068690,3068690,11/28/1976,2.4
USGS,3068690,3068690,11/29/1976,2.6
USGS,3068690,3068690,11/30/1976,2.6
USGS,3068690,3068690,12/1/1976,2.6
USGS,3068690,3068690,12/2/1976,2.6
USGS,3068690,3068690,12/3/1976,2.5
USGS,3068690,3068690,12/4/1976,2.5
USGS,3068690,3068690,12/5/1976,2.4
USGS,3068690,3068690,12/6/1976,2.4
USGS,3068690,3068690,12/7/1976,2.9
USGS,3068690,3068690,12/8/1976,3.2
USGS,3068690,3068690,12/9/1976,3
USGS,3068690,3068690,12/10/1976,2.8
USGS,3068690,3068690,12/11/1976,2.8
USGS,3068690,3068690,12/12/1976,3.1
USGS,3068690,3068690,12/13/1976,3.3
USGS,3068690,3068690,12/14/1976,3.1
USGS,3068690,3068690,12/15/1976,3
USGS,3068690,3068690,12/16/1976,2.8
USGS,3068690,3068690,12/17/1976,2.7
USGS,3068690,3068690,12/18/1976,2.6
USGS,3068690,3068690,12/19/1976,2.5
USGS,3068690,3068690,12/20/1976,2.4
USGS,3068690,3068690,12/21/1976,2.4
USGS,3068690,3068690,12/22/1976,2.4
USGS,3068690,3068690,12/23/1976,2.3
USGS,3068690,3068690,12/24/1976,2.3
USGS,3068690,3068690,12/25/1976,2.2
USGS,3068690,3068690,12/26/1976,2.2
USGS,3068690,3068690,12/27/1976,2.2
USGS,3068690,3068690,12/28/1976,2.2
USGS,3068690,3068690,12/29/1976,2.2
USGS,3068690,3068690,12/30/1976,2.1
USGS,3068690,3068690,12/31/1976,2.1
USGS,3068690,3068690,1/1/1977,2
USGS,3068690,3068690,1/2/1977,2
USGS,3068690,3068690,1/3/1977,1.9
USGS,3068690,3068690,1/4/1977,1.9
USGS,3068690,3068690,1/5/1977,1.9
USGS,3068690,3068690,1/6/1977,1.9
USGS,3068690,3068690,1/7/1977,1.8
USGS,3068690,3068690,1/8/1977,1.8
USGS,3068690,3068690,1/9/1977,1.8
USGS,3068690,3068690,1/10/1977,1.8
USGS,3068690,3068690,1/11/1977,1.8
USGS,3068690,3068690,1/12/1977,1.9
USGS,3068690,3068690,1/13/1977,1.9
USGS,3068690,3068690,1/14/1977,1.9
USGS,3068690,3068690,1/15/1977,1.9
USGS,3068690,3068690,1/16/1977,1.9
USGS,3068690,3068690,1/17/1977,1.9
USGS,3068690,3068690,1/18/1977,1.9
USGS,3068690,3068690,1/19/1977,1.9
USGS,3068690,3068690,1/20/1977,2
USGS,3068690,3068690,1/21/1977,2
USGS,3068690,3068690,1/22/1977,2
USGS,3068690,3068690,1/23/1977,2
USGS,3068690,3068690,1/24/1977,1.9
USGS,3068690,3068690,1/25/1977,2
USGS,3068690,3068690,1/26/1977,2
USGS,3068690,3068690,1/27/1977,1.9
USGS,3068690,3068690,1/28/1977,1.9
USGS,3068690,3068690,1/29/1977,1.9
USGS,3068690,3068690,1/30/1977,1.9
USGS,3068690,3068690,1/31/1977,1.9
USGS,3068690,3068690,2/1/1977,1.9
USGS,3068690,3068690,2/2/1977,1.9
USGS,3068690,3068690,2/3/1977,1.9
USGS,3068690,3068690,2/4/1977,1.9
USGS,3068690,3068690,2/5/1977,1.9
USGS,3068690,3068690,2/6/1977,1.9
USGS,3068690,3068690,2/7/1977,2
USGS,3068690,3068690,2/8/1977,2
USGS,3068690,3068690,2/9/1977,1.9
USGS,3068690,3068690,2/10/1977,1.9
USGS,3068690,3068690,2/11/1977,2
USGS,3068690,3068690,2/12/1977,2.3
USGS,3068690,3068690,2/13/1977,2.9
USGS,3068690,3068690,2/14/1977,2.8
USGS,3068690,3068690,2/15/1977,2.6
USGS,3068690,3068690,2/16/1977,2.5
USGS,3068690,3068690,2/17/1977,2.4
USGS,3068690,3068690,2/18/1977,2.3
USGS,3068690,3068690,2/19/1977,2.2
USGS,3068690,3068690,2/20/1977,2.2
USGS,3068690,3068690,2/21/1977,2.2
USGS,3068690,3068690,2/22/1977,2.2
USGS,3068690,3068690,2/23/1977,2.7
USGS,3068690,3068690,2/24/1977,4.7
USGS,3068690,3068690,2/25/1977,5.2
USGS,3068690,3068690,2/26/1977,4.7
USGS,3068690,3068690,2/27/1977,4.5
